2025-10-05 15:20:10,757 | DEBUG | root | Реализация у ЗАРЯ ООО - Колягин (Вокзальная магистраль ул, дом № 16) "РЕСПУБЛИКА": 'Реализация товаров и услуг Бе00-049856 от 02.10.2025 0:00:00' | номера=['Бе00-049856']
2025-10-05 15:20:10,757 | DEBUG | root | Финализирован: ЗАРЯ ООО - Колягин (Вокзальная магистраль ул, дом № 16) "РЕСПУБЛИКА" | сум=125975.28, проср=125975.28, дней=17, реализаций=3
2025-10-05 15:20:10,757 | DEBUG | root | Новый клиент: БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5) | всего=117266.4, проср=117266.4, дней=53
2025-10-05 15:20:10,757 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-039883 от 13.08.2025 0:00:00' | номера=['Бе00-039883']
2025-10-05 15:20:10,757 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-049568 от 01.10.2025 0:00:00' | номера=['Бе00-049568']
2025-10-05 15:20:10,757 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-045559 от 10.09.2025 0:00:00' | номера=['Бе00-045559']
2025-10-05 15:20:10,757 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-044280 от 03.09.2025 0:00:00' | номера=['Бе00-044280']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-046898 от 17.09.2025 0:00:00' | номера=['Бе00-046898']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-042795 от 27.08.2025 0:00:00' | номера=['Бе00-042795']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5): 'Реализация товаров и услуг Бе00-041308 от 20.08.2025 0:00:00' | номера=['Бе00-041308']
2025-10-05 15:20:10,758 | DEBUG | root | Финализирован: БУРГЕР РУС ООО - Колягин (Военная ул, дом № 5) | сум=117266.4, проср=117266.4, дней=53, реализаций=7
2025-10-05 15:20:10,758 | DEBUG | root | Новый клиент: АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1) | всего=104934.1, проср=104934.1, дней=181
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-047623 от 19.09.2025 10:56:4' | номера=['Бе00-047623']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-048207 от 23.09.2025 10:10:2' | номера=['Бе00-048207']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-049596 от 30.09.2025 9:36:49' | номера=['Бе00-049596']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-021066 от 13.05.2025 0:00:00' | номера=['Бе00-021066']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-038557 от 06.08.2025 0:00:00' | номера=['Бе00-038557']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-042257 от 23.08.2025 0:00:00' | номера=['Бе00-042257']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-018899 от 29.04.2025 10:53:2' | номера=['Бе00-018899']
2025-10-05 15:20:10,758 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1): 'Реализация товаров и услуг Бе00-011306 от 18.03.2025 0:00:00' | номера=['Бе00-011306']
2025-10-05 15:20:10,760 | DEBUG | root | Финализирован: АРРАКИС ООО - Колягин (Гурьевская ул, дом № 64/1) | сум=104934.1, проср=104934.1, дней=181, реализаций=8
2025-10-05 15:20:10,760 | DEBUG | root | Новый клиент: ЗАРЯ ООО - Колягин (Советская ул, дом № 18) "РЕСПУБЛИКА" | всего=103816.08, проср=103816.08, дней=17
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у ЗАРЯ ООО - Колягин (Советская ул, дом № 18) "РЕСПУБЛИКА": 'Реализация товаров и услуг Бе00-049852 от 02.10.2025 0:00:00' | номера=['Бе00-049852']
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у ЗАРЯ ООО - Колягин (Советская ул, дом № 18) "РЕСПУБЛИКА": 'Реализация товаров и услуг Бе00-048604 от 25.09.2025 0:00:00' | номера=['Бе00-048604']
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у ЗАРЯ ООО - Колягин (Советская ул, дом № 18) "РЕСПУБЛИКА": 'Реализация товаров и услуг Бе00-047100 от 18.09.2025 0:00:00' | номера=['Бе00-047100']
2025-10-05 15:20:10,760 | DEBUG | root | Финализирован: ЗАРЯ ООО - Колягин (Советская ул, дом № 18) "РЕСПУБЛИКА" | сум=103816.08, проср=103816.08, дней=17, реализаций=3
2025-10-05 15:20:10,760 | DEBUG | root | Новый клиент: БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107) | всего=86618.4, проср=86618.4, дней=52
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-043417 от 29.08.2025 0:00:00' | номера=['Бе00-043417']
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-047197 от 18.09.2025 0:00:00' | номера=['Бе00-047197']
2025-10-05 15:20:10,760 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-049833 от 02.10.2025 0:00:00' | номера=['Бе00-049833']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-040067 от 14.08.2025 0:00:00' | номера=['Бе00-040067']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-044631 от 04.09.2025 0:00:00' | номера=['Бе00-044631']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-048487 от 25.09.2025 0:00:00' | номера=['Бе00-048487']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107): 'Реализация товаров и услуг Бе00-045727 от 11.09.2025 0:00:00' | номера=['Бе00-045727']
2025-10-05 15:20:10,761 | DEBUG | root | Финализирован: БУРГЕР РУС ООО - Колягин (Ватутина ул, дом № 107) | сум=86618.4, проср=86618.4, дней=52, реализаций=7
2025-10-05 15:20:10,761 | DEBUG | root | Новый клиент: БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7) | всего=82470.8, проср=82470.8, дней=771
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-043546 от 29.08.2025 0:00:00' | номера=['Бе00-043546']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-049429 от 30.09.2025 0:00:00' | номера=['Бе00-049429']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-040449 от 15.08.2025 0:00:00' | номера=['Бе00-040449']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-039104 от 08.08.2025 0:00:00' | номера=['Бе00-039104']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-046557 от 16.09.2025 0:00:00' | номера=['Бе00-046557']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-041726 от 26.08.2023 0:00:00' | номера=['Бе00-041726']
2025-10-05 15:20:10,761 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7): 'Реализация товаров и услуг Бе00-033450 от 12.07.2024 0:00:00' | номера=['Бе00-033450']
2025-10-05 15:20:10,761 | DEBUG | root | Финализирован: БУРГЕР РУС ООО - Колягин (им. Карла Маркса пл, дом № 7) | сум=82470.8, проср=82470.8, дней=771, реализаций=7
2025-10-05 15:20:10,762 | DEBUG | root | Новый клиент: АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15) | всего=81269.0, проср=81269.0, дней=268
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-047627 от 20.09.2025 0:00:00' | номера=['Бе00-047627']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-048211 от 24.09.2025 0:00:00' | номера=['Бе00-048211']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-049595 от 01.10.2025 0:00:00' | номера=['Бе00-049595']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-018898 от 30.04.2025 0:00:00' | номера=['Бе00-018898']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-005781 от 12.02.2025 0:00:00' | номера=['Бе00-005781']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-042259 от 23.08.2025 0:00:00' | номера=['Бе00-042259']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15): 'Реализация товаров и услуг Бе00-067857 от 27.12.2024 0:00:00' | номера=['Бе00-067857']
2025-10-05 15:20:10,762 | DEBUG | root | Финализирован: АРРАКИС ООО - Колягин (Пархоменко ул, дом № 15) | сум=81269.0, проср=81269.0, дней=268, реализаций=7
